Month,BuildingDemand_B_Max,BuildingDemand_B_Min,BuildingDemand_B_Mean,BuildingDemand_B_Variance,BuildingDemand_B_StdDev,SolarF02_B_Max,SolarF02_B_Min,SolarF02_B_Mean,SolarF02_B_Variance,SolarF02_B_StdDev,Net_Demand_Max,Net_Demand_Min,Net_Demand_Mean,Net_Demand_Variance,Net_Demand_StdDev
Jan,4698,2092,3320.434436000596,261582.32720289688,511.4511972836674,1542,0,122.32703957080912,36454.60500796238,190.93089065932307,4632,1015,3198.107396429787,297240.4506625447,545.1976253273162
Feb,5607,2497,3650.4075163398693,230329.8976656847,479.9269711796626,1574,0,224.04589337365195,93784.8390592471,306.2431045088968,4885.380952,1337,3426.3616229662175,287186.67260035645,535.8980057812834
Mar,5594,2227,3415.0552755376343,369829.7110635316,608.1362602768655,1589,0,447.179995968007,220171.37649285348,469.2242283736566,4489,670,2967.8752795696273,403753.1514461733,635.4157311919287
Apr,6468,1779,3128.2186921296297,694167.0002722006,833.1668502000068,1581,0,397.08765844279714,192401.72379582206,438.6362089429258,5235,280,2731.131033686833,804851.7469714863,897.135300259379
May,5865,1593,2953.3694259197655,564599.7562361103,751.3985335599946,1577,0,428.3285681129331,224635.02606645104,473.95677658036607,4719,159,2525.0408578068323,490286.85442200187,700.2048660370776
Jun,5807,2004,3301.749805753506,492021.4975075644,701.4424406232947,1566,0,380.5977658432835,265137.39368980506,514.9149383051583,5398,968,2921.1520399102224,601390.5394522455,775.4937391444533
Jul,6648,2252,3789.2045110887098,566785.2385988425,752.8514053907601,1559,0,360.8358502485075,241093.04400853487,491.0122646212973,5748,1191,3428.368660840202,548958.1702127707,740.9171142663467
Aug,7995,2550,4391.266059027777,1140424.9568659991,1067.9068109465354,1558,0,381.5629951873712,241423.99590337966,491.3491588507908,6921,1723,4009.7030638404067,988163.1906490144,994.0639771408148
Sep,7991,2573,4556.951692708333,879272.1825589961,937.6951437215595,1573,0,336.1824067209693,192969.79971357976,439.2832795743309,7598,1861,4220.769285987364,849727.0371979348,921.8063989786222
Oct,7565,2535,3921.5612399193546,547901.7690063026,740.2038698941682,1574,0,251.64108385472395,140880.6508583126,375.3407130305912,6097,1486,3669.920156064631,588639.9225415731,767.2287289599973
Nov,6274,2029,3572.4874855324074,369186.9634870271,607.6075735925508,1573,0,181.1639018769213,85276.80805914428,292.0219307845633,5129,826,3391.323583655486,390708.2010411443,625.0665572890173
Dec,5834,2007,3191.7648129480285,353492.20415109495,594.5521038152123,1561,0,98.19046908332774,37632.64557415672,193.9913543799226,4706,847,3093.574343864701,358243.604535409,598.5345474869508
